,Z-XX-A-m,Binding,Predicted
1845,55-Cs-131,1102.391,1125.7063270414471
1846,55-Cs-132,1109.5591,1139.298009281814
1847,55-Cs-133,1118.546,1155.413307593882
1848,55-Cs-134,1125.438,1160.915470526755
1849,55-Cs-134,1125.2991,1160.4929098126888
1850,55-Cs-135,1134.199,1165.972076244116
1851,55-Cs-135,1132.566,1174.2501918596624
1852,55-Cs-136,1141.028,1179.217686133921
1853,55-Cs-136-m ,1141.028,1163.8377759441732
1854,55-Cs-137,1149.306,1176.9952742387652
1855,55-Cs-138,1153.72,1181.2093831287027
1856,55-Cs-138,1153.6399,1179.0547109280228
1857,55-Cs-139,1159.6051,1183.1330904670358
1858,55-Cs-140,1164.026,1196.7720155201555
1859,55-Cs-141,1169.5231,1193.8788306725025
1860,55-Cs-142,1173.634,1205.5614283499121
1861,55-Cs-143,1178.861,1204.4600959002375
1862,55-Cs-144,1182.5321,1222.1040366535187
1863,55-Cs-144-m ,1182.5321,1197.5335246685743
1864,55-Cs-145,1187.3889,1215.0627328765988
1865,55-Cs-146,1191.025,1231.4649875327943
1866,55-Cs-147,1195.496,1225.4610259406566
1867,55-Cs-148,1198.8479,1235.0034492117761
1868,55-Cs-149,1203.459,1237.334594564855
1869,55-Cs-150,1206.691,1243.3451801492572
1870,55-Cs-151,1210.963,1247.4444315129517
1871,56-Ba-114,922.273,955.447479234159
1872,56-Ba-115,933.405,965.1777489274145
1873,56-Ba-116,947.076,971.3236889197827
1874,56-Ba-117,957.84796,983.7650461639166
1875,56-Ba-118,970.99,987.6838249836565
1876,56-Ba-119,981.281,1000.2207926821709
1877,56-Ba-120,993.66296,1004.8888325136901
1878,56-Ba-121,1003.574,1024.166774679482
1879,56-Ba-122,1015.51605,1025.5845589860082
1880,56-Ba-123,1024.632,1044.7052750712633
1881,56-Ba-124,1036.1381,1046.2591636716722
1882,56-Ba-125,1044.788,1064.2124323655962
1883,56-Ba-126,1055.8619,1067.8031360967755
1884,56-Ba-127,1064.078,1086.3169445134401
1885,56-Ba-127,1063.9979,1072.0444908416866
1886,56-Ba-128,1074.736,1090.8822499743699
1887,56-Ba-129,1082.4711,1104.360074536383
1888,56-Ba-129,1082.462,1098.0170395289063
1889,56-Ba-130,1092.739,1111.235403563738
1890,56-Ba-130,1090.2639,1116.2166457464696
1891,56-Ba-131,1100.2319,1125.3205107372999
1892,56-Ba-131,1100.044,1121.6831890982985
1893,56-Ba-132,1110.0559,1136.1231172914504
1894,56-Ba-133,1117.246,1149.8846486919522
1895,56-Ba-133,1116.958,1139.176402782321
1896,56-Ba-134,1126.714,1152.7265913352967
1897,56-Ba-135,1133.686,1169.0428590730428
1898,56-Ba-135,1133.418,1159.1352413604855
1899,56-Ba-136,1142.794,1175.5729906167387
1900,56-Ba-136,1140.7631,1174.5503961883187
1901,56-Ba-137,1149.7001,1181.1155224081278
1902,56-Ba-137,1149.7001,1180.6807135574222
1903,56-Ba-138,1158.312,1186.1821266043783
1904,56-Ba-139,1163.035,1199.2847582460643
1905,56-Ba-140,1169.464,1197.1799534588456
1906,56-Ba-141,1173.991,1201.2343366485238
1907,56-Ba-142,1180.159,1202.9888197316527
1908,56-Ba-143,1184.344,1216.5232606803775
1909,56-Ba-144,1190.248,1213.7176875039934
1910,56-Ba-145,1193.9609,1225.219562675476
1911,56-Ba-146,1199.622,1224.2330877520442
1912,56-Ba-147,1203.2941,1241.482713494122
1913,56-Ba-148,1208.7749,1234.6918716133832
1914,56-Ba-149,1212.327,1250.6655664681791
1915,56-Ba-150,1217.5079,1244.9239399659036
1916,56-Ba-151,1220.78,1254.1002939286827
1917,56-Ba-152,1225.652,1256.2219711490272
1918,56-Ba-153,1228.723,1262.057833314836
1919,57-La-117,946.265,988.7916564446092
1920,57-La-117,946.16504,992.8042959849239
1921,57-La-118,957.437,999.2779361228944
1922,57-La-119,970.909,1006.2553746159077
1923,57-La-120,981.68,1019.6724584186674
1924,57-La-121,994.45197,1024.1509020942449
1925,57-La-122,1004.623,1037.842069199562
1926,57-La-123,1016.905,1043.2849911450148
1927,57-La-124,1026.526,1063.470670212984
1928,57-La-124-m ,1026.526,1044.5204281927943
1929,57-La-125,1038.098,1064.360159891188
1930,57-La-125,1037.988,1084.9185322597623
1931,57-La-126,1047.379,1085.297599590659
1932,57-La-126-m ,1047.379,1066.3739785205125
1933,57-La-127,1058.381,1087.5731284049152
1934,57-La-127,1058.361,1090.3817011249662
1935,57-La-128,1067.182,1091.6351354347466
1936,57-La-128-m ,1067.182,1106.7397125120758
1937,57-La-129,1077.95,1111.0399333014489
1938,57-La-129,1077.778,1096.4332804728149
1939,57-La-130,1086.325,1116.1566548731328
1940,57-La-131,1096.537,1123.0237351554035
1941,57-La-131,1096.227,1128.1279586284757
1942,57-La-132,1104.578,1137.6946282109022
1943,57-La-132,1104.388,1134.0234367246628
1944,57-La-133,1114.4,1148.9766618278027
1945,57-La-134,1122.2,1162.7298195022345
1946,57-La-135,1131.703,1165.4452813876271
1947,57-La-136,1139.165,1181.9983880940676
1948,57-La-136,1138.9349,1172.0534010666609
1949,57-La-137,1148.296,1188.6342535520196
1950,57-La-138,1155.793,1194.121293785572
1951,57-La-139,1164.571,1199.1226579070687
1952,57-La-140,1169.732,1212.0078226329088
1953,57-La-141,1176.42,1209.9320134344696
1954,57-La-142,1181.589,1213.908533469796
1955,57-La-143,1187.812,1215.620647998631
1956,57-La-144,1192.587,1228.9201246934533
1957,57-La-145,1198.7579,1226.1502960790992
1958,57-La-146,1202.96,1237.3845869593024
1959,57-La-146-m ,1202.96,1225.1974410409332
1960,57-La-147,1208.761,1236.410235191524
1961,57-La-148,1213.113,1253.1693105630875
1962,57-La-149,1218.854,1246.561690807998
1963,57-La-150,1223.126,1262.0275879161954
1964,57-La-151,1228.497,1256.4546857451796
1965,57-La-152,1232.369,1265.3245863299965
1966,57-La-153,1237.241,1267.3505281149744
1967,57-La-154,1240.8119,1272.9587999050616
1968,57-La-155,1245.284,1276.84833317405
1969,58-Ce-119,959.126,968.464498900354
1970,58-Ce-120,972.898,974.6496829223634
1971,58-Ce-121,983.969,987.1375330933333
1972,58-Ce-122,997.141,991.087807121575
1973,58-Ce-123,1007.612,1003.7065123850108
1974,58-Ce-124,1020.284,1008.4287939645053
1975,58-Ce-125,1030.215,1027.7904733909963
1976,58-Ce-126,1042.447,1029.1535160256028
1977,58-Ce-127,1051.678,1048.4343327540755
1978,58-Ce-128,1063.2999,1050.0332145094872
1979,58-Ce-129,1072.131,1068.163706241727
1980,58-Ce-130,1083.333,1071.8052772342562
1981,58-Ce-131,1091.694,1090.5039325293899
1982,58-Ce-131,1091.634,1076.1167463123797
1983,58-Ce-132,1102.53,1095.1407271143794
1984,58-Ce-132,1100.189,1103.8873964468837
1985,58-Ce-133,1110.55,1108.648672094047
1986,58-Ce-133,1110.5131,1102.2217748448847
1987,58-Ce-134,1121.035,1115.4737587649822
1988,58-Ce-135,1128.895,1129.689596050024
1989,58-Ce-135,1128.448,1126.0435257419942
1990,58-Ce-136,1138.8099,1140.5953119177223
1991,58-Ce-136,1135.7141,1135.2160052942038
1992,58-Ce-137,1146.292,1154.3739657133221
1993,58-Ce-137,1146.038,1143.5872317444087
1994,58-Ce-138,1156.053,1157.1647911333441
1995,58-Ce-139,1162.7549,1173.5655460177063
1996,58-Ce-139,1163.5089,1163.6163096367716
1997,58-Ce-140,1172.711,1180.1118001086115
1998,58-Ce-141,1178.14,1185.647332964778
1999,58-Ce-142,1185.309,1190.6985644997358
2000,58-Ce-143,1190.455,1203.7704508188367
2001,58-Ce-144,1197.3511,1201.6533978949785
2002,58-Ce-145,1202.0859,1205.6830348494052
2003,58-Ce-146,1208.7369,1207.406647628963
